CHUNK NO,ID,GENDER,AGE,INDUSTRY,ASTROLOGICAL SIGN,TOTAL PREVALENCE,AVERAGE PREVALENCE
1,4162441,male,16,Student,Sagittarius,994.8780000000003,0.016118693496646255
1,3489929,female,25,Student,Cancer,20237.12099999994,0.32787532808398856
1,3954575,female,23,BusinessServices,Gemini,389.16700000000014,0.006305158614432457
1,3364931,male,16,Student,Virgo,4324.537000000003,0.07006475810894014
1,3162067,female,24,Education,Cancer,10496.811999999996,0.17006597323482706
1,813360,female,23,BusinessServices,Capricorn,33930.395999999964,0.5497293671624375
1,4028373,female,17,indUnk,Leo,3461.3160000000044,0.05607912899776424
1,3630901,male,34,Technology,Leo,24412.916999999965,0.395530232332069
1,2467122,female,23,Student,Taurus,7419.965999999999,0.1202159035676096
1,3732850,female,45,Technology,Taurus,37380.307000000015,0.6056237160169796
1,3846432,male,16,Student,Leo,1144.5960000000002,0.018544376397394775
1,3600967,female,33,Arts,Scorpio,4658.651,0.07547796571724831
1,3753301,female,14,Non-Profit,Aries,694.8790000000002,0.01125820615015716
1,4157968,male,16,Student,Pisces,1956.386000000001,0.03169673698195135
1,3699514,male,34,InvestmentBanking,Capricorn,10625.535999999971,0.17215151809727441
1,2727849,female,26,Arts,Libra,534.8750000000003,0.008665872784420471
1,3791552,female,24,indUnk,Virgo,6064.111000000002,0.09824877677327373
1,4278694,female,24,Technology,Virgo,1103.6099999999997,0.01788033440264411
1,1618178,male,14,Arts,Scorpio,16499.297999999922,0.2673163215709135
1,669719,male,26,Science,Taurus,17424.77999999993,0.2823106833867977
1,3865169,female,15,indUnk,Aries,1440.2420000000004,0.023334337837399962
1,4310425,female,27,indUnk,Aries,1983.7190000000014,0.0321395774602249
1,4186320,male,16,indUnk,Pisces,8283.902999999998,0.13421313308058713
1,2221350,female,14,Student,Scorpio,58402.90500000033,0.9462250899193211
1,2318045,male,25,indUnk,Pisces,643.6210000000003,0.010427740513917247
1,827534,female,33,indUnk,Sagittarius,901.0770000000001,0.014598959852240695
1,3842783,female,15,Student,Pisces,2070.760000000002,0.03354978775801176
1,3315654,female,23,Student,Leo,1020.7080000000007,0.016537182852143492
1,4254392,male,24,Technology,Gemini,1340.6630000000007,0.0217209908946567
1,3783033,female,15,Education,Pisces,1278.2869999999998,0.020710394996921677
1,2968005,male,17,indUnk,Aquarius,15612.716999999942,0.25295222125012057
1,4087466,male,16,Student,Gemini,830.280000000001,0.013451929619908638
1,3469096,female,16,indUnk,Aquarius,734.5719999999998,0.011901299374615206
1,3964350,male,27,indUnk,Aquarius,3289.600000000005,0.05329704157350709
1,3628088,female,17,indUnk,Leo,13734.714999999978,0.22252543663523505
1,3453908,female,25,indUnk,Aquarius,8848.127999999995,0.14335452512880326
1,3487175,male,23,Engineering,Virgo,2166.2110000000025,0.035096254171932253
1,3726642,female,14,Student,Leo,1143.6790000000008,0.018529519458215883
1,1794773,male,15,Student,Gemini,6954.717000000005,0.11267808885000494
1,709888,female,39,indUnk,Sagittarius,37139.372000000025,0.6017201646090539
1,3351952,female,24,Science,Scorpio,1056.233,0.017112747480638995
1,3334256,male,23,Publishing,Virgo,19170.64799999993,0.3105966754155719
1,3451597,female,26,Construction,Aquarius,5322.629000000001,0.08623552380026572
